"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","flowerx","flowery","flowerz","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops","stops"
1,1,"Test","Y",NA,NA,291.0963026,32.18780437,4039.161087,21.3303141692494,2.33207691476995,-2.68994739381147,527.851476919785,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,293.0335,29.30920039,4018.114871,0,-0.978446561082174,1.40740319356501,513.786137562297,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,293.0335,29.30920039,4018.114871,0,0,0,513.786137562297,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,293.0335,29.30920039,4018.114871,0,0,0,513.786137562297,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,293.0335,29.30920039,4018.114871,17.0783103019746,1.12096310533097,-1.27724441358998,513.786137562297,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,295.1822173,24.85912267,4001.767134,10.9470548600773,-0.399039772284414,2.53619522575929,502.940236812132,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,297.7030639,22.63957646,4012.186201,27.048339569889,0.336477741772349,-2.13200576508065,510.842213674182,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,306.2230333,7.49316949,3991.459186,23.1749938335878,0.138615230210939,0.39558419564387,498.683947977328,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,313.7386871,-11.66874826,3980.809482,49.2789176146563,-0.190599507007063,-0.642250164063877,492.191350069886,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,325.2294104,-29.81961865,3936.4595,40.1736060218549,0.0599568838007005,-0.0961519941245896,470.218422105114,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,331.9768261,-42.04189138,3898.78979,73.0627389604069,-0.474147694728714,0.00400187255223194,453.040637465376,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,353.2707634,-56.36811959,3830.382983,41.7713499343345,0.139704903970958,-0.00238799911925436,439.407908026651,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,364.116249,-66.11171308,3791.23859,88.0913863084577,-0.455628127455318,-0.179826630476307,435.423016203094,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,379.0146793,-70.33624653,3704.519028,6.10041378484182,-2.86202340430761,0.56176593420409,434.036189845817,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
